"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","Condition"
"21","CCL2hi Macrophage","NECTIN2","TIGIT",0.00376275230847413,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"22","CCL2hi Macrophage","NECTIN2","TIGIT",0.000934970099594551,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"gamma-delta T","CCL2hi Macrophage","NECTIN2","TIGIT",0.000944842935468352,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"14","CD8+ T","NECTIN2","TIGIT",0.0057941156613951,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","CD8+ T","NECTIN2","TIGIT",0.00245072128950495,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"19","CD8+ T","NECTIN2","TIGIT",0.00820060286138717,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"21","CD8+ T","NECTIN2","TIGIT",0.00831143270573657,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"22","CD8+ T","NECTIN2","TIGIT",0.00207233879060478,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"gamma-delta T","CD8+ T","NECTIN2","TIGIT",0.00209419651943435,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"14","DUSP4hi CD4+ T","NECTIN2","TIGIT",0.00233435575379801,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","DUSP4hi CD4+ T","NECTIN2","TIGIT",0.000985377415990149,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"19","DUSP4hi CD4+ T","NECTIN2","TIGIT",0.00330867274849032,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"21","DUSP4hi CD4+ T","NECTIN2","TIGIT",0.00335361248769591,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"22","DUSP4hi CD4+ T","NECTIN2","TIGIT",0.000833049773288564,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"gamma-delta T","DUSP4hi CD4+ T","NECTIN2","TIGIT",0.00084184728626289,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"14","NK","NECTIN2","TIGIT",0.00343703594719565,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","NK","NECTIN2","TIGIT",0.00145176764078283,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"19","NK","NECTIN2","TIGIT",0.00486934499389843,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"21","NK","NECTIN2","TIGIT",0.00493537745253148,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"22","NK","NECTIN2","TIGIT",0.00122743019284652,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"gamma-delta T","NK","NECTIN2","TIGIT",0.00124038743285488,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"14","TPT1hi CD4+ T","NECTIN2","TIGIT",0.00248218227536826,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","TPT1hi CD4+ T","NECTIN2","TIGIT",0.0010478676190439,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"19","TPT1hi CD4+ T","NECTIN2","TIGIT",0.00351798176341726,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"21","TPT1hi CD4+ T","NECTIN2","TIGIT",0.00356575425200184,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"22","TPT1hi CD4+ T","NECTIN2","TIGIT",0.000885888299641165,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"gamma-delta T","TPT1hi CD4+ T","NECTIN2","TIGIT",0.000895243319666488,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"14","Treg","NECTIN2","TIGIT",0.000351472447046748,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","Treg","NECTIN2","TIGIT",0.000148193216271472,0.02,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"19","Treg","NECTIN2","TIGIT",0.000498584160713337,0.01,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"21","Treg","NECTIN2","TIGIT",0.000505375486689795,0.02,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"gamma-delta T","Treg","NECTIN2","TIGIT",0.000126591931679929,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Pre-Chemo"
"16","DUSP4hi CD4+ T","NECTIN2","TIGIT",0.00359439503966965,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Post-Chemo"
"16","IL10hi Macrophage","NECTIN2","TIGIT",0.00115649890579405,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Post-Chemo"
"16","NK","NECTIN2","TIGIT",0.000675152520101821,0,"NECTIN2_TIGIT","NECTIN2 - TIGIT","NECTIN","Cell-Cell Contact","KEGG: hsa04514","Post-Chemo"
"14","12","CD274","PDCD1",0.00182432169063177,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","12","CD274","PDCD1",0.00172237747863677,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","12","CD274","PDCD1",0.00111148219132795,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","13","CD274","PDCD1",0.000322766954748547,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","13","CD274","PDCD1",0.000304704926036305,0.03,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","13","CD274","PDCD1",0.000196532759129198,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","18","CD274","PDCD1",0.00184059401574612,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","18","CD274","PDCD1",0.00173774207929991,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","18","CD274","PDCD1",0.00112140337530781,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","APOhi Macrophage","CD274","PDCD1",0.00148276715241711,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","APOhi Macrophage","CD274","PDCD1",0.0013998824495678,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","APOhi Macrophage","CD274","PDCD1",0.000903266660021634,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","CCL2hi Macrophage","CD274","PDCD1",0.000668958725549197,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","CCL2hi Macrophage","CD274","PDCD1",0.000631536054772528,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","CCL2hi Macrophage","CD274","PDCD1",0.000407384061713652,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","CD8+ T","CD274","PDCD1",0.000701576207217324,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","CD8+ T","CD274","PDCD1",0.000662330069269769,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","CD8+ T","CD274","PDCD1",0.000427252985430506,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","DUSP4hi CD4+ T","CD274","PDCD1",0.00145594475298443,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","DUSP4hi CD4+ T","CD274","PDCD1",0.0013745573224447,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","DUSP4hi CD4+ T","CD274","PDCD1",0.00088691777781785,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","MAFhi Macrophage","CD274","PDCD1",0.00110780421716865,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","MAFhi Macrophage","CD274","PDCD1",0.0010458574878019,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","MAFhi Macrophage","CD274","PDCD1",0.000674749085724468,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","NK","CD274","PDCD1",0.000410131335374032,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","NK","CD274","PDCD1",0.000387182292158926,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","NK","CD274","PDCD1",0.000249737455608151,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","TPT1hi CD4+ T","CD274","PDCD1",0.000173875366768966,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"22","TPT1hi CD4+ T","CD274","PDCD1",0.000164143938588548,0.03,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","TPT1hi CD4+ T","CD274","PDCD1",0.000105866522724958,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"14","Treg","CD274","PDCD1",6.76116344183698e-05,0.01,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
"gamma-delta T","Treg","CD274","PDCD1",4.11646067035442e-05,0,"CD274_PDCD1","CD274 - PDCD1","PD-L1","Cell-Cell Contact","PMID: 23954143","Pre-Chemo"
